id,plan,room,x,y,photo
1,1st_floor,ванна,530,70,uploads/1st_floor/ванна/IMG_20250927_120108.jpg
2,1st_floor,ванна,480,110,uploads/1st_floor/ванна/IMG_20250927_120118.jpg
3,1st_floor,ванна,430,70,uploads/1st_floor/ванна/IMG_20250927_120125.jpg
4,1st_floor,ванна,480,40,uploads/1st_floor/ванна/IMG_20250927_120134.jpg
5,1st_floor,ванна-гостьова,282,74,uploads/1st_floor/ванна-гостьова/IMG_20250927_120210.jpg
6,1st_floor,ванна-гостьова,233,105,uploads/1st_floor/ванна-гостьова/IMG_20250927_120216.jpg
7,1st_floor,ванна-гостьова,192,70,uploads/1st_floor/ванна-гостьова/IMG_20250927_120221.jpg
8,1st_floor,ванна-гостьова,237,42,uploads/1st_floor/ванна-гостьова/IMG_20250927_120228.jpg
9,1st_floor,гардероб,157,73,uploads/1st_floor/гардероб/IMG_20250927_120239.jpg
10,1st_floor,гардероб,103,105,uploads/1st_floor/гардероб/IMG_20250927_120257.jpg
11,1st_floor,гардероб,47,74,uploads/1st_floor/гардероб/IMG_20250927_120305.jpg
12,1st_floor,гардероб,102,41,uploads/1st_floor/гардероб/IMG_20250927_120312.jpg
13,1st_floor,комора,675,72,uploads/1st_floor/комора/IMG_20250927_120920_1.jpg
14,1st_floor,комора,626,101,uploads/1st_floor/комора/IMG_20250927_120924.jpg
15,1st_floor,комора,570,63,uploads/1st_floor/комора/IMG_20250927_120928.jpg
16,1st_floor,комора,621,38,uploads/1st_floor/комора/IMG_20250927_120935.jpg
17,1st_floor,коридор,794,159,uploads/1st_floor/коридор/IMG_20250927_120326.jpg
18,1st_floor,коридор,766,180,uploads/1st_floor/коридор/IMG_20250927_120334.jpg
19,1st_floor,коридор,689,178,uploads/1st_floor/коридор/IMG_20250927_120342.jpg
20,1st_floor,коридор,607,183,uploads/1st_floor/коридор/IMG_20250927_120350.jpg
21,1st_floor,коридор,500,178,uploads/1st_floor/коридор/IMG_20250927_120355.jpg
22,1st_floor,коридор,392,178,uploads/1st_floor/коридор/IMG_20250927_120405.jpg
23,1st_floor,коридор,339,175,uploads/1st_floor/коридор/IMG_20250927_120408.jpg
24,1st_floor,коридор,255,202,uploads/1st_floor/коридор/IMG_20250927_120421.jpg
25,1st_floor,коридор,137,239,uploads/1st_floor/коридор/IMG_20250927_120429.jpg
26,1st_floor,коридор,87,193,uploads/1st_floor/коридор/IMG_20250927_120435.jpg
27,1st_floor,коридор,112,149,uploads/1st_floor/коридор/IMG_20250927_120448.jpg
28,1st_floor,коридор,165,154,uploads/1st_floor/коридор/IMG_20250927_120456.jpg
29,1st_floor,коридор,276,145,uploads/1st_floor/коридор/IMG_20250927_120505.jpg
30,1st_floor,коридор,442,145,uploads/1st_floor/коридор/IMG_20250927_120517.jpg
31,1st_floor,коридор,550,141,uploads/1st_floor/коридор/IMG_20250927_120523.jpg
32,1st_floor,коридор,676,145,uploads/1st_floor/коридор/IMG_20250927_120531.jpg
33,1st_floor,коридор,760,140,uploads/1st_floor/коридор/IMG_20250927_120541.jpg
34,1st_floor,котельня,395,76,uploads/1st_floor/котельня/IMG_20250927_120144.jpg
35,1st_floor,котельня,350,108,uploads/1st_floor/котельня/IMG_20250927_120150.jpg
36,1st_floor,котельня,320,71,uploads/1st_floor/котельня/IMG_20250927_120155.jpg
37,1st_floor,котельня,355,39,uploads/1st_floor/котельня/IMG_20250927_120202.jpg
38,1st_floor,кухня,268,320,uploads/1st_floor/кухня/IMG_20250927_115610.jpg
39,1st_floor,кухня,268,474,uploads/1st_floor/кухня/IMG_20250927_115625.jpg
40,1st_floor,кухня,210,583,uploads/1st_floor/кухня/IMG_20250927_115632.jpg
41,1st_floor,кухня,84,580,uploads/1st_floor/кухня/IMG_20250927_115639.jpg
42,1st_floor,кухня,55,479,uploads/1st_floor/кухня/IMG_20250927_115646.jpg
43,1st_floor,кухня,59,349,uploads/1st_floor/кухня/IMG_20250927_115657.jpg
44,1st_floor,кухня,148,286,uploads/1st_floor/кухня/IMG_20250927_115706.jpg
45,1st_floor,ванна,381,358,uploads/1st_floor/ванна/IMG_20250927_120108.jpg
46,1st_floor,ванна,347,392,uploads/1st_floor/ванна/IMG_20250927_120118.jpg
47,1st_floor,ванна,321,350,uploads/1st_floor/ванна/IMG_20250927_120125.jpg
48,1st_floor,ванна,350,321,uploads/1st_floor/ванна/IMG_20250927_120134.jpg
49,1st_floor,"кімната 1",538,283,"uploads/1st_floor/кімната 1/IMG_20250927_115747.jpg"
50,1st_floor,"кімната 1",476,381,"uploads/1st_floor/кімната 1/IMG_20250927_115757.jpg"
51,1st_floor,"кімната 1",416,292,"uploads/1st_floor/кімната 1/IMG_20250927_115805.jpg"
52,1st_floor,"кімната 1",488,225,"uploads/1st_floor/кімната 1/IMG_20250927_115814.jpg"
53,1st_floor,"кімната 2",713,307,"uploads/1st_floor/кімната 2/IMG_20250927_115829.jpg"
54,1st_floor,"кімната 2",651,381,"uploads/1st_floor/кімната 2/IMG_20250927_115842.jpg"
55,1st_floor,"кімната 2",599,307,"uploads/1st_floor/кімната 2/IMG_20250927_115849.jpg"
56,1st_floor,"кімната 2",657,220,"uploads/1st_floor/кімната 2/IMG_20250927_115856.jpg"
57,1st_floor,"кімната 3",869,307,"uploads/1st_floor/кімната 3/IMG_20250927_115911.jpg"
58,1st_floor,"кімната 3",821,392,"uploads/1st_floor/кімната 3/IMG_20250927_115918.jpg"
59,1st_floor,"кімната 3",755,304,"uploads/1st_floor/кімната 3/IMG_20250927_115933.jpg"
60,1st_floor,"кімната 3",802,249,"uploads/1st_floor/кімната 3/IMG_20250927_115942.jpg"
61,1st_floor,спальня,994,117,uploads/1st_floor/спальня/IMG_20250927_115953.jpg
62,1st_floor,спальня,922,191,uploads/1st_floor/спальня/IMG_20250927_120001.jpg
63,1st_floor,спальня,837,119,uploads/1st_floor/спальня/IMG_20250927_120009.jpg
64,1st_floor,спальня,914,42,uploads/1st_floor/спальня/IMG_20250927_120017.jpg
65,1st_floor,спальня-кладовка,795,69,uploads/1st_floor/спальня-кладовка/IMG_20250927_120028.jpg
66,1st_floor,спальня-кладовка,755,103,uploads/1st_floor/спальня-кладовка/IMG_20250927_120034.jpg
67,1st_floor,спальня-кладовка,723,72,uploads/1st_floor/спальня-кладовка/IMG_20250927_120044.jpg
68,1st_floor,спальня-кладовка,760,39,uploads/1st_floor/спальня-кладовка/IMG_20250927_120053.jpg
69,1st_floor,щитова,320,218,uploads/1st_floor/щитова/IMG_20250927_120558.jpg
70,1st_floor,щитова,321,238,uploads/1st_floor/щитова/IMG_20250927_120614.jpg
71,1st_floor,щитова,357,231,uploads/1st_floor/щитова/IMG_20250927_120637.jpg
73,1st_floor,щитова,347,253,uploads/1st_floor/щитова/IMG_20250927_120646.jpg
74,1st_floor,щитова,370,257,uploads/1st_floor/щитова/IMG_20250927_120655.jpg
75,1st_floor,щитова,325,267,uploads/1st_floor/щитова/IMG_20250927_120701.jpg
